"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
295;250;71388;2,53;721,09;250;75695;2,53;764,60
296;269;71657;2,72;723,81;256;75951;2,59;767,18
297;245;71902;2,47;726,28;252;76203;2,55;769,73
298;243;72145;2,45;728,74;253;76456;2,56;772,28
299;117;72262;1,18;729,92;133;76589;1,34;773,63
300;118;72380;1,19;731,11;134;76723;1,35;774,98
301;244;72624;2,46;733,58;250;76973;2,53;777,51
302;239;72863;2,41;735,99;250;77223;2,53;780,03
303;239;73102;2,41;738,40;251;77474;2,54;782,57
304;240;73342;2,42;740,83;250;77724;2,53;785,09
305;237;73579;2,39;743,22;251;77975;2,54;787,63
306;242;73821;2,44;745,67;249;78224;2,52;790,14
307;240;74061;2,42;748,09;251;78475;2,54;792,68
308;239;74300;2,41;750,51;254;78729;2,57;795,24
309;240;74540;2,42;752,93;254;78983;2,57;797,81
310;242;74782;2,44;755,37;257;79240;2,60;800,40
311;239;75021;2,41;757,79;259;79499;2,62;803,02
312;241;75262;2,43;760,22;258;79757;2,61;805,63
313;240;75502;2,42;762,65;257;80014;2,60;808,22
314;242;75744;2,44;765,09;255;80269;2,58;810,80
315;239;75983;2,41;767,51;253;80522;2,56;813,35
316;239;76222;2,41;769,92;256;80778;2,59;815,94
317;239;76461;2,41;772,33;260;81038;2,63;818,57
318;238;76699;2,40;774,74;262;81300;2,65;821,21
319;240;76939;2,42;777,16;265;81565;2,68;823,89
320;240;77179;2,42;779,59;262;81827;2,65;826,54
321;239;77418;2,41;782,00;311;82138;3,14;829,68
322;241;77659;2,43;784,43;243;82381;2,45;832,13
