2024-03-20 13:29:56.999773728+00:00 - START TIME
2024-03-20 14:56:45.522124280+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:56:48.588494667+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:56:48.589383472+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
2024-03-20 14:56:48.756988793+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:03:46.544954906+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_11_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:03:46.548061873+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
2024-03-20 15:03:46.556122116+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
2024-03-20 15:03:49.449408530+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
2024-03-20 15:03:49.450388872+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
2024-03-20 15:03:49.641953937+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
2024-03-20 15:10:49.335541307+00:00 - END RUNNING MUTANT HorizontalItemViewHolder_12_InvalidViewFocusOperatorMutator
2024-03-20 15:10:49.339768992+00:00 - BEGIN RUNNING MUTANT HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:10:49.346880871+00:00 - BEGIN BUILDING MUTANT APK HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:10:52.433786995+00:00 - END BUILDING MUTANT APK HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:10:52.434680751+00:00 - BEGIN INSTALLING MUTANT APK HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
2024-03-20 15:10:52.621543730+00:00 - END INSTALLING MUTANT APK HorizontalItemViewHolder_13_ViewComponentNotVisibleOperatorMutator
