"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
214;394;85931;4,10;895,11;415;91155;4,32;949,53
215;398;86329;4,15;899,26;416;91571;4,33;953,86
216;396;86725;4,13;903,39;414;91985;4,31;958,18
217;393;87118;4,09;907,48;414;92399;4,31;962,49
218;394;87512;4,10;911,58;417;92816;4,34;966,83
219;392;87904;4,08;915,67;416;93232;4,33;971,17
220;392;88296;4,08;919,75;414;93646;4,31;975,48
221;391;88687;4,07;923,82;414;94060;4,31;979,79
222;392;89079;4,08;927,91;416;94476;4,33;984,13
223;393;89472;4,09;932,00;416;94892;4,33;988,46
224;390;89862;4,06;936,06;416;95308;4,33;992,79
225;393;90255;4,09;940,16;416;95724;4,33;997,13
226;392;90647;4,08;944,24;415;96139;4,32;1001,45
227;397;91044;4,14;948,38;417;96556;4,34;1005,79
228;395;91439;4,11;952,49;416;96972;4,33;1010,13
229;391;91830;4,07;956,56;417;97389;4,34;1014,47
230;395;92225;4,11;960,68;453;97842;4,72;1019,19
231;394;92619;4,10;964,78;414;98256;4,31;1023,50
232;391;93010;4,07;968,85;416;98672;4,33;1027,83
233;389;93399;4,05;972,91;417;99089;4,34;1032,18
234;389;93788;4,05;976,96;414;99503;4,31;1036,49
235;391;94179;4,07;981,03;419;99922;4,36;1040,85
236;394;94573;4,10;985,14;418;100340;4,35;1045,21
237;390;94963;4,06;989,20;416;100756;4,33;1049,54
238;392;95355;4,08;993,28;420;101176;4,38;1053,92
239;390;95745;4,06;997,34;415;101591;4,32;1058,24
240;394;96139;4,10;1001,45;415;102006;4,32;1062,56
241;391;96530;4,07;1005,52;419;102425;4,36;1066,93
242;394;96924;4,10;1009,63;416;102841;4,33;1071,26
243;394;97318;4,10;1013,73;414;103255;4,31;1075,57
244;391;97709;4,07;1017,80;414;103669;4,31;1079,89
245;393;98102;4,09;1021,90;416;104085;4,33;1084,22
246;390;98492;4,06;1025,96;420;104505;4,38;1088,59
247;391;98883;4,07;1030,03;417;104922;4,34;1092,94
248;391;99274;4,07;1034,10;416;105338;4,33;1097,27
249;393;99667;4,09;1038,20;418;105756;4,35;1101,63
250;394;100061;4,10;1042,30;415;106171;4,32;1105,95
251;392;100453;4,08;1046,39;418;106589;4,35;1110,30
252;392;100845;4,08;1050,47;416;107005;4,33;1114,64
253;395;101240;4,11;1054,58;420;107425;4,38;1119,01
254;394;101634;4,10;1058,69;420;107845;4,38;1123,39
255;390;102024;4,06;1062,75;418;108263;4,35;1127,74
256;389;102413;4,05;1066,80;416;108679;4,33;1132,07
257;394;102807;4,10;1070,91;412;109091;4,29;1136,36
258;394;103201;4,10;1075,01;416;109507;4,33;1140,70
259;393;103594;4,09;1079,10;415;109922;4,32;1145,02
260;391;103985;4,07;1083,18;418;110340;4,35;1149,38
261;394;104379;4,10;1087,28;414;110754;4,31;1153,69
262;393;104772;4,09;1091,38;417;111171;4,34;1158,03
263;394;105166;4,10;1095,48;464;111635;4,83;1162,86
264;388;105554;4,04;1099,52;421;112056;4,39;1167,25
265;391;105945;4,07;1103,59;419;112475;4,36;1171,61
266;441;106386;4,59;1108,19;417;112892;4,34;1175,96
267;393;106779;4,09;1112,28;418;113310;4,35;1180,31
268;396;107175;4,13;1116,41;416;113726;4,33;1184,65
269;398;107573;4,15;1120,55;412;114138;4,29;1188,94
270;390;107963;4,06;1124,61;419;114557;4,36;1193,30
271;392;108355;4,08;1128,70;415;114972;4,32;1197,63
272;393;108748;4,09;1132,79;419;115391;4,36;1201,99
273;392;109140;4,08;1136,88;421;115812;4,39;1206,38
274;391;109531;4,07;1140,95;415;116227;4,32;1210,70
275;390;109921;4,06;1145,01;415;116642;4,32;1215,02
276;391;110312;4,07;1149,08;417;117059;4,34;1219,36
277;392;110704;4,08;1153,17;415;117474;4,32;1223,69
278;393;111097;4,09;1157,26;415;117889;4,32;1228,01
279;393;111490;4,09;1161,35;421;118310;4,39;1232,40
280;391;111881;4,07;1165,43;416;118726;4,33;1236,73
281;393;112274;4,09;1169,52;413;119139;4,30;1241,03
282;394;112668;4,10;1173,63;416;119555;4,33;1245,36
283;392;113060;4,08;1177,71;420;119975;4,38;1249,74
284;393;113453;4,09;1181,80;418;120393;4,35;1254,09
285;394;113847;4,10;1185,91;417;120810;4,34;1258,44
286;393;114240;4,09;1190,00;416;121226;4,33;1262,77
287;400;114640;4,17;1194,17;418;121644;4,35;1267,13
288;395;115035;4,11;1198,28;415;122059;4,32;1271,45
289;395;115430;4,11;1202,40;418;122477;4,35;1275,80
290;395;115825;4,11;1206,51;420;122897;4,38;1280,18
291;390;116215;4,06;1210,57;414;123311;4,31;1284,49
292;387;116602;4,03;1214,60;412;123723;4,29;1288,78
293;391;116993;4,07;1218,68;417;124140;4,34;1293,13
294;393;117386;4,09;1222,77;420;124560;4,38;1297,50
295;395;117781;4,11;1226,89;419;124979;4,36;1301,86
296;392;118173;4,08;1230,97;460;125439;4,79;1306,66
297;390;118563;4,06;1235,03;394;125833;4,10;1310,76
298;393;118956;4,09;1239,13;419;126252;4,36;1315,13
299;392;119348;4,08;1243,21;421;126673;4,39;1319,51
300;390;119738;4,06;1247,27;416;127089;4,33;1323,84
301;391;120129;4,07;1251,34;419;127508;4,36;1328,21
302;392;120521;4,08;1255,43;415;127923;4,32;1332,53
303;396;120917;4,13;1259,55;419;128342;4,36;1336,90
304;394;121311;4,10;1263,66;420;128762;4,38;1341,27
305;388;121699;4,04;1267,70;416;129178;4,33;1345,60
306;392;122091;4,08;1271,78;417;129595;4,34;1349,95
307;391;122482;4,07;1275,85;420;130015;4,38;1354,32
308;397;122879;4,14;1279,99;419;130434;4,36;1358,69
309;393;123272;4,09;1284,08;413;130847;4,30;1362,99
310;391;123663;4,07;1288,16;416;131263;4,33;1367,32
311;387;124050;4,03;1292,19;420;131683;4,38;1371,70
312;391;124441;4,07;1296,26;420;132103;4,38;1376,07
313;392;124833;4,08;1300,34;418;132521;4,35;1380,43
314;391;125224;4,07;1304,42;418;132939;4,35;1384,78
315;396;125620;4,13;1308,54;419;133358;4,36;1389,15
316;392;126012;4,08;1312,63;415;133773;4,32;1393,47
317;395;126407;4,11;1316,74;420;134193;4,38;1397,84
318;396;126803;4,13;1320,86;417;134610;4,34;1402,19
319;391;127194;4,07;1324,94;420;135030;4,38;1406,56
320;397;127591;4,14;1329,07;416;135446;4,33;1410,90
