2024-04-24 17:25:25.724695353+01:00 - END INSTALLING MUTANT APK CategoryMenuTask_6_BinaryMutator
2024-04-24 17:29:38.214071181+01:00 - END RUNNING MUTANT CategoryMenuTask_6_BinaryMutator
2024-04-24 17:29:38.217310906+01:00 - BEGIN RUNNING MUTANT CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
2024-04-24 17:29:38.224769225+01:00 - BEGIN BUILDING MUTANT APK CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
2024-04-24 17:29:41.109943811+01:00 - END BUILDING MUTANT APK CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
2024-04-24 17:29:41.110940519+01:00 - BEGIN INSTALLING MUTANT APK CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
2024-04-24 17:29:41.576840314+01:00 - END INSTALLING MUTANT APK CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
2024-04-24 17:33:49.203012954+01:00 - END RUNNING MUTANT CategoryMenuTask_7_BuggyGUIListenerOperatorMutator
2024-04-24 17:33:49.206182330+01:00 - BEGIN RUNNING MUTANT CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
2024-04-24 17:33:49.213821535+01:00 - BEGIN BUILDING MUTANT APK CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
2024-04-24 17:33:51.630703112+01:00 - END BUILDING MUTANT APK CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
2024-04-24 17:33:51.631727766+01:00 - BEGIN INSTALLING MUTANT APK CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
2024-04-24 17:33:51.889931831+01:00 - END INSTALLING MUTANT APK CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
2024-04-24 17:37:57.622445574+01:00 - END RUNNING MUTANT CategoryMenuTask_8_InvalidKeyIntentOperatorMutator
2024-04-24 17:37:57.629012482+01:00 - BEGIN RUNNING MUTANT CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:37:57.636433740+01:00 - BEGIN BUILDING MUTANT APK CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:38:00.291962650+01:00 - END BUILDING MUTANT APK CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:38:00.293034072+01:00 - BEGIN INSTALLING MUTANT APK CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:38:00.521947976+01:00 - END INSTALLING MUTANT APK CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
2024-04-24 17:42:08.147392584+01:00 - END RUNNING MUTANT CategoryMenuTask_9_RandomActionIntentDefinitionOperatorMutator
