2023-12-06	17:29:07.054409494+00:00	 -	STOPPING EMULATOR FOR MUTANT 11005
2023-12-06	17:29:17.059155161+00:00	 -	STARTING EMULATOR FOR MUTANT 12005
2023-12-06	17:29:53.071104309+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:29:54.074551601+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:29:54.075923156+00:00	 -	BEGIN RUNNING MUTANT 12005
2023-12-06	17:31:27.993501900+00:00	 -	END RUNNING MUTANT 12005
2023-12-06	17:31:27.994451662+00:00	 -	STOPPING EMULATOR FOR MUTANT 12005
2023-12-06	17:31:37.998101398+00:00	 -	STARTING EMULATOR FOR MUTANT 13005
2023-12-06	17:32:14.009001429+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:32:14.909646899+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:32:14.910974897+00:00	 -	BEGIN RUNNING MUTANT 13005
2023-12-06	17:33:48.257280958+00:00	 -	END RUNNING MUTANT 13005
2023-12-06	17:33:48.258623277+00:00	 -	STOPPING EMULATOR FOR MUTANT 13005
2023-12-06	17:33:58.265734383+00:00	 -	STARTING EMULATOR FOR MUTANT 14005
2023-12-06	17:34:34.274426048+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:34:35.220380707+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:34:35.221651049+00:00	 -	BEGIN RUNNING MUTANT 14005
2023-12-06	17:39:41.223107872+00:00	 -	END RUNNING MUTANT 14005
2023-12-06	17:39:41.224431300+00:00	 -	STOPPING EMULATOR FOR MUTANT 14005
2023-12-06	17:39:51.228356339+00:00	 -	STARTING EMULATOR FOR MUTANT 15005
2023-12-06	17:40:27.239134292+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:40:28.034732033+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:40:28.036027680+00:00	 -	BEGIN RUNNING MUTANT 15005
2023-12-06	17:41:57.088109725+00:00	 -	END RUNNING MUTANT 15005
2023-12-06	17:41:57.089175322+00:00	 -	STOPPING EMULATOR FOR MUTANT 15005
2023-12-06	17:42:07.092846975+00:00	 -	STARTING EMULATOR FOR MUTANT 16005
2023-12-06	17:42:43.101200879+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:42:43.763623269+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:42:43.764854780+00:00	 -	BEGIN RUNNING MUTANT 16005
2023-12-06	17:47:43.593432091+00:00	 -	END RUNNING MUTANT 16005
2023-12-06	17:47:43.594392290+00:00	 -	STOPPING EMULATOR FOR MUTANT 16005
2023-12-06	17:47:53.598936479+00:00	 -	STARTING EMULATOR FOR MUTANT 17005
2023-12-06	17:48:29.610918997+00:00	 -	BEGIN INSTALLING APP AND TEST APK
2023-12-06	17:48:30.354294102+00:00	 -	END INSTALLING TEST APK
2023-12-06	17:48:30.355547189+00:00	 -	BEGIN RUNNING MUTANT 17005
